epoch,val_dice,patience,left_ventricle,right_ventricle,left_atrium,right_atrium,myocardium,aorta,pulmonary_artery
1,0.10523204505443573,0,0.1289467215538025,0.03110792301595211,0.25539472699165344,0.007370529230684042,0.15912717580795288,0.02342854253947735,0.015004961751401424
2,0.1486901044845581,0,0.21996521949768066,0.08576744049787521,0.2060166597366333,0.008519947528839111,0.2703448534011841,0.06750662624835968,0.04602017253637314
3,0.16929511725902557,0,0.3122858703136444,0.026227343827486038,0.10110851377248764,0.006606870796531439,0.3074023127555847,0.13415193557739258,0.05839557945728302
4,0.18187643587589264,0,0.36215654015541077,0.1238362267613411,0.031233008950948715,0.005183275789022446,0.31510138511657715,0.15620505809783936,0.06260214000940323
5,0.18824143707752228,0,0.36413830518722534,0.1416257917881012,0.00914021022617817,0.005628925282508135,0.35358914732933044,0.1420360505580902,0.07588387280702591
6,0.22722706198692322,0,0.3598095178604126,0.121637724339962,0.18704919517040253,0.007129487115889788,0.37158748507499695,0.13327541947364807,0.09070708602666855
7,0.27149081230163574,0,0.36958494782447815,0.11250901222229004,0.4102914333343506,0.007179100066423416,0.3763815462589264,0.092987559735775,0.15584489703178406
8,0.32928362488746643,0,0.4375286102294922,0.12472697347402573,0.6414453983306885,0.005045278929173946,0.30124104022979736,0.12205146253108978,0.21824902296066284
9,0.3791496753692627,0,0.5472999811172485,0.0928259789943695,0.7056602239608765,0.0007845397922210395,0.34678104519844055,0.14403757452964783,0.30781039595603943
10,0.4037352502346039,0,0.5764490365982056,0.065217025578022,0.7265642881393433,0.004256885498762131,0.46143752336502075,0.11773493140935898,0.2850792407989502
11,0.45197513699531555,0,0.6639394760131836,0.11210566759109497,0.7710415124893188,0.0071462891064584255,0.5110601186752319,0.3072527348995209,0.34041133522987366
12,0.48655635118484497,0,0.6803625226020813,0.20512782037258148,0.7469627261161804,0.037900280207395554,0.5312485098838806,0.33926713466644287,0.4386786222457886
13,0.5131269097328186,0,0.7333731651306152,0.3980427384376526,0.7473434209823608,0.0008480283431708813,0.5235175490379333,0.3389691710472107,0.45732372999191284
14,0.5438857078552246,0,0.730801522731781,0.4571373760700226,0.7504287958145142,0.0006821061251685023,0.5736128687858582,0.38889673352241516,0.5216779112815857
15,0.5210307240486145,1,0.7157858610153198,0.49467143416404724,0.721126914024353,0.10851210355758667,0.46370044350624084,0.2880491614341736,0.44878828525543213
16,0.5552548170089722,0,0.7500183582305908,0.5462415218353271,0.7947461605072021,0.08381601423025131,0.5435522198677063,0.3915746510028839,0.48481062054634094
17,0.565650999546051,0,0.7585165500640869,0.5449333190917969,0.7851387858390808,0.019917214289307594,0.6702650785446167,0.4050103724002838,0.4375842809677124
18,0.5787156820297241,0,0.734512448310852,0.5507047176361084,0.7514653205871582,0.0024147755466401577,0.7370368242263794,0.3905877470970154,0.49967890977859497
19,0.5854673981666565,0,0.7394868731498718,0.5742312669754028,0.7872744798660278,0.03750237450003624,0.6979467868804932,0.3896763026714325,0.49133414030075073
20,0.6285829544067383,0,0.7123424410820007,0.5070545673370361,0.7682881355285645,0.3516418933868408,0.737903892993927,0.4084616005420685,0.5332702398300171
21,0.6221874356269836,1,0.7430358529090881,0.5308261513710022,0.7868305444717407,0.36902493238449097,0.6970066428184509,0.4086151123046875,0.4817892014980316
22,0.712002158164978,0,0.7684434056282043,0.6566591262817383,0.807451069355011,0.6507238149642944,0.7883767485618591,0.5017813444137573,0.5859301686286926
23,0.6586686968803406,1,0.6894714832305908,0.615321934223175,0.7383108735084534,0.6128741502761841,0.7113968729972839,0.38716551661491394,0.5603625178337097
24,0.6734147667884827,2,0.7017055153846741,0.6213229298591614,0.777317464351654,0.6585680842399597,0.7605146765708923,0.42508745193481445,0.5294798016548157
25,0.6959376335144043,3,0.7378424406051636,0.6674447655677795,0.768560528755188,0.6414028406143188,0.814486026763916,0.4459172785282135,0.5357020497322083
26,0.6947802305221558,4,0.7297235131263733,0.6880698204040527,0.7890853881835938,0.6221127510070801,0.8042834997177124,0.41383063793182373,0.49481138586997986
27,0.6595110297203064,5,0.7135197520256042,0.575320839881897,0.7592979669570923,0.5740038156509399,0.7349579930305481,0.3732810318470001,0.5112003684043884
28,0.6685094237327576,6,0.7325368523597717,0.6192101836204529,0.7953135371208191,0.5921066999435425,0.7185084819793701,0.4251615107059479,0.49942898750305176
29,0.693120539188385,7,0.7696413397789001,0.6152399778366089,0.802196204662323,0.5895875096321106,0.8299054503440857,0.4321216642856598,0.519582211971283
30,0.702490508556366,8,0.7705114483833313,0.6991568207740784,0.7995864748954773,0.5989090800285339,0.8080918192863464,0.49736616015434265,0.49365392327308655
31,0.6904101371765137,9,0.7530378699302673,0.6644672155380249,0.8053220510482788,0.6025477051734924,0.7895039916038513,0.4236651360988617,0.5083456039428711
32,0.6939771771430969,10,0.7404021620750427,0.6316120624542236,0.7756998538970947,0.630237877368927,0.8074877858161926,0.48631346225738525,0.5249565839767456
33,0.6857489347457886,11,0.7588307857513428,0.580748438835144,0.7810112237930298,0.6193070411682129,0.7982960343360901,0.4383787512779236,0.5284050107002258
34,0.685032069683075,12,0.7431848049163818,0.6133124828338623,0.7914071083068848,0.6223353147506714,0.8081169128417969,0.45615777373313904,0.49952954053878784
35,0.6821200251579285,13,0.7561833262443542,0.6260638236999512,0.7852188944816589,0.5813652276992798,0.7766039967536926,0.39973390102386475,0.5152553915977478
36,0.7057840824127197,14,0.7753512263298035,0.6691295504570007,0.8086175918579102,0.6142510175704956,0.8099815249443054,0.4686678349971771,0.5360636711120605
37,0.6922501921653748,15,0.7672406435012817,0.6292363405227661,0.7911092638969421,0.5818431973457336,0.8081691861152649,0.4013180732727051,0.5178878307342529
38,0.6943525075912476,16,0.7529823184013367,0.6488860249519348,0.8066072463989258,0.5868330001831055,0.7778839468955994,0.42771267890930176,0.5277780890464783
39,0.6766605973243713,17,0.7425441145896912,0.6234698295593262,0.7879910469055176,0.5991620421409607,0.7308989763259888,0.4153488278388977,0.5154377222061157
40,0.6706541180610657,18,0.7166971564292908,0.6039623618125916,0.7741268873214722,0.5729758143424988,0.763940691947937,0.3964081108570099,0.5043568015098572
41,0.6773983240127563,19,0.7383973002433777,0.6278475522994995,0.7795850038528442,0.6213254332542419,0.7488872408866882,0.41799071431159973,0.501031756401062
42,0.6921772360801697,20,0.7453813552856445,0.6717503070831299,0.7878989577293396,0.6306447386741638,0.7983412742614746,0.4443682134151459,0.49904653429985046
43,0.6886223554611206,21,0.7474638819694519,0.6465486884117126,0.799288272857666,0.603064239025116,0.7881994843482971,0.42244952917099,0.49556899070739746
44,0.6731186509132385,22,0.7384327054023743,0.6230303049087524,0.7774451971054077,0.5843642354011536,0.7313352823257446,0.40362852811813354,0.5214473009109497
45,0.6834074258804321,23,0.7274385094642639,0.6196488738059998,0.7819932699203491,0.6194363832473755,0.7577707767486572,0.47164589166641235,0.5189152359962463
46,0.6862699389457703,24,0.7409241199493408,0.6467440128326416,0.7821272015571594,0.5720396041870117,0.7999356985092163,0.4091670513153076,0.5144940614700317
47,0.6847866177558899,25,0.7447548508644104,0.6318679451942444,0.8017536401748657,0.6012004613876343,0.7754536271095276,0.44661328196525574,0.4737941324710846
